EOS,\000
IntegerConstant,
Identifier,
Add,+
Sub,-
Mul,*
Div,/
Mod,%
Increment,++
Decrement,--
BitwiseOr,|
BitwiseAnd,&
BitwiseXor,^
LogicalOr,||
LogicalAnd,&&
LeftShift,<<
RightShift,>>
Assign,=
Negate,!
AddAssign,+=
SubAssign,-=
MulAssign,*=
DivAssign,/=
ModAssign,%=
LeftShiftAssign,<<=
RightShiftAssign,>>=
AndAssign,&=
XorAssign,^=
OrAssign,|=
Equal,==
NotEqual,!=
LessThan,<
LessThanOrEqual,<=
GreaterThan,>
GreaterThanOrEqual,>=
Question,?
Comma,","
Colon,:
Semicolon,;
LeftParentthesis,(
RightParenthesis,)
LeftSquareBracket,[
RightSquareBracket,]
LeftCurlyBracket,{
RightCurlyBracket,}
S8,
U8,
S16,
U16,
S32,
U32,
S64,
U64,
Statement_goto,goto
Statement_if,if
Statement_else,else
Statement_do,do
Statement_while,while
Statement_for,for
Statement_continue,continue
Statement_break,break
Statement_return,return
Statement_switch,switch
Statement_case,case
Statement_default,default
Statement_struct,struct
Statement_void,void
Statement_typedef,typedef
